time_allocation,time_retrieve,time_total,n,rows_per_block,threads_per_line
0.178847,3.8193e-05,1.99414,10000,1,32
0.176858,3.6598e-05,1.06582,10000,2,32
0.177959,3.6935e-05,1.06736,10000,4,32
0.179149,3.668e-05,1.07704,10000,8,32
0.178376,3.5367e-05,1.13255,10000,16,32
0.178766,3.6676e-05,1.3937,10000,32,32
0.176437,3.6293e-05,1.03252,10000,1,64
0.178687,3.5547e-05,1.03088,10000,2,64
0.178621,3.5381e-05,1.03544,10000,4,64
0.178472,3.6723e-05,1.03986,10000,8,64
0.175967,3.567e-05,1.11908,10000,16,64
0.174735,3.6475e-05,1.01517,10000,1,128
0.176791,3.7657e-05,1.0196,10000,2,128
0.177077,3.7724e-05,1.03547,10000,4,128
0.17836,3.5848e-05,1.04544,10000,8,128
0.178984,3.6662e-05,1.00927,10000,1,256
0.176755,3.6645e-05,1.00912,10000,2,256
0.174832,3.7103e-05,1.02711,10000,4,256
0.176348,3.5774e-05,1.00237,10000,1,512
0.176579,3.6638e-05,1.01013,10000,2,512
0.178939,3.6394e-05,1.00679,10000,1,1024
0.178834,3.6665e-05,1.10028,10000,1,32
0.178932,3.6811e-05,1.07334,10000,2,32
0.174782,3.6454e-05,1.05941,10000,4,32
0.17678,3.6507e-05,1.06876,10000,8,32
0.178411,3.6244e-05,1.1289,10000,16,32
0.179092,3.6714e-05,1.39851,10000,32,32
0.179684,3.7086e-05,1.04165,10000,1,64
0.174305,3.6215e-05,1.0227,10000,2,64
0.176721,3.6063e-05,1.03439,10000,4,64
0.175246,3.7046e-05,1.03494,10000,8,64
0.178725,3.6967e-05,1.12397,10000,16,64
0.177817,3.6519e-05,1.01561,10000,1,128
0.179608,3.725e-05,1.0215,10000,2,128
0.174473,3.6595e-05,1.02776,10000,4,128
0.176771,3.6974e-05,1.04199,10000,8,128
0.178576,3.7036e-05,1.00822,10000,1,256
0.178674,3.5318e-05,1.01043,10000,2,256
0.179251,3.6306e-05,1.03043,10000,4,256
0.178159,3.5261e-05,1.00454,10000,1,512
0.174558,3.5802e-05,1.00529,10000,2,512
0.176583,3.5289e-05,1.00332,10000,1,1024
0.174535,3.6762e-05,1.09837,10000,1,32
0.17805,3.5677e-05,1.06351,10000,2,32
0.178933,3.6729e-05,1.06681,10000,4,32
0.178243,3.6822e-05,1.07203,10000,8,32
0.174559,3.7246e-05,1.12254,10000,16,32
0.176636,3.5893e-05,1.39485,10000,32,32
0.177525,3.6505e-05,1.0349,10000,1,64
0.178595,3.6647e-05,1.03225,10000,2,64
0.179116,3.7251e-05,1.03847,10000,4,64
0.178862,3.6007e-05,1.04247,10000,8,64
0.175037,3.6787e-05,1.11685,10000,16,64
0.17638,3.6636e-05,1.01684,10000,1,128
0.176452,3.6894e-05,1.01791,10000,2,128
0.178809,3.6208e-05,1.0349,10000,4,128
0.179278,3.7226e-05,1.04687,10000,8,128
0.178079,3.6715e-05,1.00766,10000,1,256
0.174576,3.6617e-05,1.00712,10000,2,256
0.176693,3.6031e-05,1.02688,10000,4,256
0.177681,3.7207e-05,1.00123,10000,1,512
0.179103,3.6051e-05,1.01419,10000,2,512
0.179426,3.58e-05,1.00652,10000,1,1024
0.17901,3.6615e-05,1.09976,10000,1,32
0.174435,4.1512e-05,1.06139,10000,2,32
0.176616,3.7219e-05,1.06458,10000,4,32
0.178213,4.3132e-05,1.07194,10000,8,32
0.177765,3.6497e-05,1.1348,10000,16,32
0.179129,3.6157e-05,1.39728,10000,32,32
0.179314,3.5932e-05,1.03918,10000,1,64
0.174604,3.6133e-05,1.02379,10000,2,64
0.176548,3.6525e-05,1.0348,10000,4,64
0.178794,3.6059e-05,1.03814,10000,8,64
0.177937,4.3146e-05,1.1215,10000,16,64
0.17697,3.6466e-05,1.02046,10000,1,128
0.177983,3.6109e-05,1.01954,10000,2,128
0.174804,3.7139e-05,1.02721,10000,4,128
0.177094,3.6312e-05,1.04589,10000,8,128
0.178766,3.6369e-05,1.01823,10000,1,256
0.178585,3.6329e-05,1.0139,10000,2,256
0.178015,3.8148e-05,1.03482,10000,4,256
0.180549,3.6243e-05,1.0068,10000,1,512
0.174334,3.5556e-05,1.00534,10000,2,512
0.176829,3.5795e-05,1.00436,10000,1,1024
0.177352,3.7032e-05,1.10026,10000,1,32
0.177363,3.5445e-05,1.06676,10000,2,32
0.178236,3.5633e-05,1.06823,10000,4,32
0.179031,3.5802e-05,1.07373,10000,8,32
