time_allocation,time_retrieve,time_total,n,rows_per_block,threads_per_line, max_iter
0.692909,6.2379e-05,3.36926,20000,1,32,500
0.69329,5.9933e-05,3.17278,20000,2,32,500
0.692843,5.9982e-05,3.15379,20000,4,32,500
0.692462,6.045e-05,3.15647,20000,8,32,500
0.693449,6.0564e-05,3.65846,20000,16,32,500
0.693338,5.9588e-05,6.37392,20000,32,32,500
0.693451,6.0167e-05,3.03495,20000,1,64,500
0.694389,5.9971e-05,3.04444,20000,2,64,500
0.69389,6.0212e-05,3.04693,20000,4,64,500
0.693675,5.9972e-05,3.05714,20000,8,64,500
0.693476,5.9881e-05,3.39808,20000,16,64,500
0.693204,5.9717e-05,2.99939,20000,1,128,500
0.693133,5.9846e-05,3.01192,20000,2,128,500
0.693484,5.9589e-05,3.05072,20000,4,128,500
0.693518,6.0119e-05,3.08717,20000,8,128,500
0.693372,6.0795e-05,2.97004,20000,1,256,500
0.692406,6.0065e-05,2.98601,20000,2,256,500
0.692801,6.0803e-05,3.06165,20000,4,256,500
0.693574,5.9725e-05,2.94983,20000,1,512,500
0.694017,5.9355e-05,2.97874,20000,2,512,500
0.693968,6.0338e-05,2.93729,20000,1,1024,500
0.693339,6.2278e-05,3.31084,20000,1,32,500
0.693084,5.9992e-05,3.17027,20000,2,32,500
0.692669,6.0505e-05,3.15358,20000,4,32,500
0.693034,6.0412e-05,3.16034,20000,8,32,500
0.693515,6.0408e-05,3.67623,20000,16,32,500
0.69318,5.9365e-05,6.44523,20000,32,32,500
0.693611,6.0899e-05,3.03445,20000,1,64,500
0.693178,5.9155e-05,3.04633,20000,2,64,500
0.693401,6.0676e-05,3.04722,20000,4,64,500
0.694158,6.0751e-05,3.05882,20000,8,64,500
0.693804,6.019e-05,3.41194,20000,16,64,500
0.692378,6.0514e-05,3.00041,20000,1,128,500
0.692602,5.9888e-05,3.01332,20000,2,128,500
0.693971,6.1081e-05,3.04883,20000,4,128,500
0.694223,6.0011e-05,3.0881,20000,8,128,500
0.69317,6.1047e-05,2.96927,20000,1,256,500
0.693804,6.0627e-05,2.99285,20000,2,256,500
0.693295,6.0817e-05,3.06145,20000,4,256,500
0.693442,6.0913e-05,2.95128,20000,1,512,500
0.693743,5.9679e-05,2.98242,20000,2,512,500
0.693052,5.9406e-05,2.93895,20000,1,1024,500
0.693329,6.2176e-05,3.31883,20000,1,32,500
0.693437,6.0616e-05,3.16974,20000,2,32,500
0.693017,6.1616e-05,3.15585,20000,4,32,500
0.693295,5.952e-05,3.157,20000,8,32,500
0.693443,6.7819e-05,3.66504,20000,16,32,500
0.694156,6.0671e-05,6.32404,20000,32,32,500
