time_allocation,time_retrieve,time_total,n,rows_per_block,threads_per_line, max_iter
0.175525,3.8806e-05,4.73113,10000,1,1,500
0.17524,3.7804e-05,2.38282,10000,2,1,500
0.175037,3.7608e-05,1.902,10000,4,1,500
0.175144,3.7842e-05,1.80753,10000,8,1,500
0.175549,4.5846e-05,1.80366,10000,16,1,500
0.175326,3.7686e-05,1.83524,10000,32,1,500
0.175089,3.8288e-05,1.82355,10000,64,1,500
0.17547,3.8037e-05,1.82727,10000,128,1,500
0.175115,3.8445e-05,2.24854,10000,256,1,500
0.175087,3.8479e-05,3.35166,10000,512,1,500
0.175343,3.8234e-05,5.0386,10000,1024,1,500
0.175308,3.8605e-05,3.2044,10000,1,2,500
0.175235,3.7117e-05,2.23617,10000,2,2,500
0.175176,3.8386e-05,1.91565,10000,4,2,500
0.175391,3.8754e-05,1.83979,10000,8,2,500
0.175138,3.8666e-05,1.85628,10000,16,2,500
0.175269,3.7078e-05,1.84212,10000,32,2,500
0.175164,3.7783e-05,1.84472,10000,64,2,500
0.175286,3.8015e-05,1.84232,10000,128,2,500
0.175211,3.8072e-05,2.01499,10000,256,2,500
0.175091,3.7842e-05,3.03536,10000,512,2,500
0.175631,3.9299e-05,2.94271,10000,1,4,500
0.17509,3.8324e-05,2.14204,10000,2,4,500
0.175055,3.6994e-05,1.88555,10000,4,4,500
0.175497,3.8447e-05,1.82139,10000,8,4,500
0.175098,3.8233e-05,1.82993,10000,16,4,500
0.175156,3.6783e-05,1.83246,10000,32,4,500
0.175028,3.9695e-05,1.84383,10000,64,4,500
0.175502,3.7893e-05,1.8404,10000,128,4,500
0.17553,3.8494e-05,2.44895,10000,256,4,500
0.175665,3.8378e-05,2.20666,10000,1,8,500
0.175202,3.8019e-05,1.91414,10000,2,8,500
0.175389,3.7325e-05,1.7668,10000,4,8,500
0.175219,3.7644e-05,1.76388,10000,8,8,500
0.175084,3.8163e-05,1.97956,10000,16,8,500
0.175341,3.9433e-05,1.77539,10000,32,8,500
0.174972,3.8678e-05,1.7672,10000,64,8,500
0.175187,3.7221e-05,1.76111,10000,128,8,500
0.17539,3.8752e-05,1.3736,10000,1,16,500
0.175177,3.8014e-05,1.22205,10000,2,16,500
0.175159,3.7242e-05,1.29149,10000,4,16,500
0.175378,4.617e-05,1.20841,10000,8,16,500
0.175176,3.761e-05,1.60687,10000,16,16,500
0.174898,3.8692e-05,2.69175,10000,32,16,500
0.175244,3.9142e-05,2.35843,10000,64,16,500
0.174992,3.833e-05,1.10598,10000,1,32,500
0.175451,3.6947e-05,1.07448,10000,2,32,500
0.175125,3.6955e-05,1.0692,10000,4,32,500
0.17529,3.8451e-05,1.07691,10000,8,32,500
0.175054,3.819e-05,1.13505,10000,16,32,500
0.174992,3.811e-05,1.40051,10000,32,32,500
0.175155,3.8029e-05,1.04054,10000,1,64,500
0.175403,3.8503e-05,1.03381,10000,2,64,500
0.175326,3.7671e-05,1.04523,10000,4,64,500
0.17527,3.7422e-05,1.04371,10000,8,64,500
0.175286,4.5517e-05,1.12496,10000,16,64,500
0.17548,3.7506e-05,1.02424,10000,1,128,500
0.175371,3.7142e-05,1.02394,10000,2,128,500
0.175053,3.7919e-05,1.03821,10000,4,128,500
0.17522,3.7807e-05,1.05133,10000,8,128,500
0.175163,3.8353e-05,1.01401,10000,1,256,500
0.175122,4.0406e-05,1.01639,10000,2,256,500
0.175183,3.7218e-05,1.04048,10000,4,256,500
0.174995,3.7954e-05,1.00822,10000,1,512,500
0.175342,3.6861e-05,1.01305,10000,2,512,500
0.175066,3.8715e-05,1.01114,10000,1,1024,500
0.175201,3.8351e-05,3.67117,10000,1,1,500
0.175398,3.7049e-05,2.38344,10000,2,1,500
0.175241,3.7344e-05,1.89831,10000,4,1,500
0.17543,3.7767e-05,1.81181,10000,8,1,500
0.175287,3.7491e-05,1.80796,10000,16,1,500
0.175272,3.74e-05,1.83257,10000,32,1,500
0.175241,3.8329e-05,1.8289,10000,64,1,500
0.175064,3.7602e-05,1.82163,10000,128,1,500
0.175292,3.7866e-05,2.24801,10000,256,1,500
