time_allocation,time_retrieve,time_total,n,rows_per_block,threads_per_line, max_iter
0.0453412,2.7465e-05,1.32573,5000,1,1,500
0.045764,2.6444e-05,0.923155,5000,2,1,500
0.0458138,2.7386e-05,0.893318,5000,4,1,500
0.0457622,2.7138e-05,0.865909,5000,8,1,500
0.0457627,2.6723e-05,0.859003,5000,16,1,500
0.045783,2.6283e-05,0.940219,5000,32,1,500
0.0457328,2.6545e-05,0.910483,5000,64,1,500
0.0457956,2.5728e-05,0.947754,5000,128,1,500
0.0457343,2.6119e-05,1.20482,5000,256,1,500
0.0457863,2.7562e-05,1.81869,5000,512,1,500
0.0437425,2.6981e-05,2.68528,5000,1024,1,500
0.0456911,2.5308e-05,1.1055,5000,1,2,500
0.0457255,2.5825e-05,0.873674,5000,2,2,500
0.0458432,3.3525e-05,0.851657,5000,4,2,500
0.0457042,2.6454e-05,0.836235,5000,8,2,500
0.0457543,2.6397e-05,0.826874,5000,16,2,500
0.0457137,2.8498e-05,0.822938,5000,32,2,500
0.0458245,2.6373e-05,0.825663,5000,64,2,500
0.0457424,2.5901e-05,0.854176,5000,128,2,500
0.0457702,2.7554e-05,1.02316,5000,256,2,500
0.045829,2.6972e-05,1.21411,5000,512,2,500
0.0457731,2.6356e-05,1.03795,5000,1,4,500
0.0438311,2.5383e-05,0.888098,5000,2,4,500
0.0457853,2.6956e-05,0.822781,5000,4,4,500
0.0458041,2.6219e-05,0.796009,5000,8,4,500
0.0458391,2.6345e-05,0.799637,5000,16,4,500
0.0457748,2.6484e-05,0.792754,5000,32,4,500
0.0457867,2.6496e-05,0.842539,5000,64,4,500
0.0457576,2.6593e-05,0.803718,5000,128,4,500
0.0458197,3.394e-05,0.816961,5000,256,4,500
0.0458434,3.7483e-05,0.882843,5000,1,8,500
0.0458096,2.6255e-05,0.779404,5000,2,8,500
0.0458244,2.6261e-05,0.782251,5000,4,8,500
0.0457677,2.6531e-05,0.83845,5000,8,8,500
0.0458029,2.7573e-05,0.773417,5000,16,8,500
0.045725,2.5668e-05,0.791175,5000,32,8,500
0.0457798,2.7052e-05,0.76996,5000,64,8,500
0.0457504,2.6671e-05,0.779412,5000,128,8,500
0.0457505,2.598e-05,0.638264,5000,1,16,500
0.0458044,2.6796e-05,0.606153,5000,2,16,500
0.0456586,2.643e-05,0.651897,5000,4,16,500
0.0458703,2.6064e-05,0.604086,5000,8,16,500
0.0457987,2.555e-05,0.601283,5000,16,16,500
0.0457676,2.6326e-05,0.629297,5000,32,16,500
0.0458025,2.6246e-05,0.603338,5000,64,16,500
0.0457825,2.6554e-05,0.575432,5000,1,32,500
0.0457285,2.5877e-05,0.558782,5000,2,32,500
0.0457512,2.6465e-05,0.556222,5000,4,32,500
0.0458315,2.6213e-05,0.569302,5000,8,32,500
0.0457358,2.6751e-05,0.561542,5000,16,32,500
0.0457745,2.7567e-05,0.558096,5000,32,32,500
0.0458248,3.6862e-05,0.585436,5000,1,64,500
0.0457311,2.6016e-05,0.552335,5000,2,64,500
0.045845,2.6318e-05,0.549385,5000,4,64,500
0.0457301,2.6387e-05,0.544008,5000,8,64,500
0.0457941,2.7169e-05,0.586422,5000,16,64,500
0.0458077,2.6301e-05,0.546528,5000,1,128,500
0.0458544,2.6928e-05,0.545155,5000,2,128,500
0.0457934,2.6189e-05,0.545617,5000,4,128,500
0.0460351,2.5396e-05,0.563591,5000,8,128,500
0.0450331,2.6111e-05,0.54539,5000,1,256,500
0.0458035,2.6473e-05,0.540278,5000,2,256,500
0.0457181,2.6914e-05,0.554623,5000,4,256,500
0.0457394,2.665e-05,0.542806,5000,1,512,500
0.0458027,2.6686e-05,0.541801,5000,2,512,500
0.0457731,2.7173e-05,0.557965,5000,1,1024,500
0.176433,4.0364e-05,3.92101,10000,1,1,500
0.176527,4.0035e-05,2.52297,10000,2,1,500
0.176495,3.9486e-05,2.00021,10000,4,1,500
0.176354,3.983e-05,1.92791,10000,8,1,500
0.176196,4.0948e-05,1.90881,10000,16,1,500
0.1764,3.9731e-05,1.93028,10000,32,1,500
0.176452,4.0228e-05,1.92248,10000,64,1,500
0.176525,3.979e-05,1.92826,10000,128,1,500
0.176615,4.006e-05,2.41065,10000,256,1,500
0.176059,4.1704e-05,3.57206,10000,512,1,500
0.176642,4.0742e-05,5.47884,10000,1024,1,500
0.176356,4.0177e-05,3.26353,10000,1,2,500
0.176613,4.0144e-05,2.27043,10000,2,2,500
0.176656,4.0435e-05,1.95945,10000,4,2,500
0.176219,4.186e-05,1.87641,10000,8,2,500
0.176807,3.9852e-05,1.87008,10000,16,2,500
0.176079,4.0572e-05,1.86206,10000,32,2,500
0.178918,4.1153e-05,1.86608,10000,64,2,500
0.176267,3.9836e-05,1.87007,10000,128,2,500
0.176669,4.037e-05,1.97719,10000,256,2,500
0.176663,3.9642e-05,2.3779,10000,512,2,500
0.178792,4.1577e-05,2.99983,10000,1,4,500
0.176449,4.0719e-05,2.17097,10000,2,4,500
0.176223,4.0306e-05,1.92722,10000,4,4,500
0.179016,4.1302e-05,1.86111,10000,8,4,500
0.176253,4.098e-05,1.86871,10000,16,4,500
0.176107,3.9801e-05,1.8485,10000,32,4,500
0.176165,4.125e-05,1.84654,10000,64,4,500
0.176225,4.1262e-05,1.83094,10000,128,4,500
0.176071,4.669e-05,1.86953,10000,256,4,500
0.176161,4.097e-05,2.24707,10000,1,8,500
0.176116,4.0376e-05,1.93899,10000,2,8,500
0.176145,4.0222e-05,1.79793,10000,4,8,500
0.176085,4.0008e-05,1.79538,10000,8,8,500
0.176262,4.1256e-05,1.79502,10000,16,8,500
0.176326,4.6085e-05,1.78944,10000,32,8,500
0.17617,4.0558e-05,1.78836,10000,64,8,500
0.176171,4.0347e-05,1.78542,10000,128,8,500
0.176237,4.0632e-05,1.39414,10000,1,16,500
0.177529,3.9082e-05,1.23085,10000,2,16,500
0.176246,3.8758e-05,1.16873,10000,4,16,500
0.176109,4.0211e-05,1.16281,10000,8,16,500
0.176053,4.0432e-05,1.1598,10000,16,16,500
0.176018,4.0939e-05,1.16091,10000,32,16,500
0.176139,4.0258e-05,1.16279,10000,64,16,500
0.176338,4.0371e-05,1.12388,10000,1,32,500
0.175929,3.9264e-05,1.0781,10000,2,32,500
0.176253,3.9432e-05,1.07973,10000,4,32,500
0.175918,3.9885e-05,1.07702,10000,8,32,500
0.176101,4.0061e-05,1.07207,10000,16,32,500
0.176191,3.9501e-05,1.07275,10000,32,32,500
0.176147,4.0352e-05,1.0526,10000,1,64,500
0.176778,3.9722e-05,1.04881,10000,2,64,500
0.176084,3.9587e-05,1.05353,10000,4,64,500
0.176077,4.0643e-05,1.04668,10000,8,64,500
0.176233,4.0081e-05,1.05035,10000,16,64,500
0.176136,4.0115e-05,1.0385,10000,1,128,500
0.175961,4.0795e-05,1.03737,10000,2,128,500
0.176259,3.9342e-05,1.03752,10000,4,128,500
0.175981,4.0715e-05,1.0418,10000,8,128,500
0.176121,3.9598e-05,1.02474,10000,1,256,500
0.176187,4.5783e-05,1.02825,10000,2,256,500
0.176466,4.019e-05,1.02975,10000,4,256,500
0.175972,3.9485e-05,1.02084,10000,1,512,500
