time_allocation,time_retrieve,time_total,n,rows_per_block,threads_per_line, max_iter
0.17612,4.2404e-05,3.66116,10000,1,1,500
0.176363,3.7881e-05,2.3605,10000,2,1,500
0.176032,3.8066e-05,1.88934,10000,4,1,500
0.176125,3.857e-05,1.79438,10000,8,1,500
0.176078,3.6989e-05,1.78604,10000,16,1,500
0.176544,3.8417e-05,1.87726,10000,32,1,500
0.176695,3.7991e-05,1.84031,10000,64,1,500
0.176843,3.7872e-05,1.85114,10000,128,1,500
0.179321,3.7541e-05,2.27272,10000,256,1,500
0.176003,3.806e-05,3.33545,10000,512,1,500
0.176113,3.792e-05,5.02164,10000,1024,1,500
0.176319,3.7717e-05,3.21602,10000,1,2,500
0.176343,3.7829e-05,2.26304,10000,2,2,500
0.176214,3.8266e-05,1.9243,10000,4,2,500
0.177024,3.9071e-05,1.87498,10000,8,2,500
0.179209,4.6947e-05,1.85156,10000,16,2,500
0.176454,3.7692e-05,1.86082,10000,32,2,500
0.176092,3.7798e-05,1.84236,10000,64,2,500
0.179517,3.788e-05,1.83332,10000,128,2,500
0.176472,3.7304e-05,1.99539,10000,256,2,500
0.176551,3.8067e-05,2.36161,10000,512,2,500
0.176133,5.2798e-05,2.9621,10000,1,4,500
0.177293,3.8553e-05,2.16834,10000,2,4,500
0.179239,3.8165e-05,1.89664,10000,4,4,500
0.176221,3.7654e-05,1.85652,10000,8,4,500
0.176465,3.8267e-05,1.82593,10000,16,4,500
0.176243,3.6883e-05,1.84688,10000,32,4,500
0.176024,3.7996e-05,1.81925,10000,64,4,500
0.176063,3.7339e-05,1.80748,10000,128,4,500
0.17622,3.8139e-05,1.84548,10000,256,4,500
0.176401,3.8593e-05,2.21315,10000,1,8,500
0.176222,3.7424e-05,1.91164,10000,2,8,500
0.17634,3.9137e-05,1.76622,10000,4,8,500
0.176275,3.7871e-05,1.76765,10000,8,8,500
0.176258,3.8728e-05,1.76337,10000,16,8,500
0.176649,3.8633e-05,1.78769,10000,32,8,500
0.176274,3.7883e-05,1.75829,10000,64,8,500
0.176898,3.8019e-05,1.80105,10000,128,8,500
0.176046,3.756e-05,1.37391,10000,1,16,500
0.176061,3.7436e-05,1.21265,10000,2,16,500
0.176448,3.725e-05,1.21347,10000,4,16,500
0.175775,3.8511e-05,1.14561,10000,8,16,500
0.176249,3.7812e-05,1.14854,10000,16,16,500
0.176155,3.7734e-05,1.14858,10000,32,16,500
0.176794,3.7552e-05,1.15145,10000,64,16,500
0.176202,3.7387e-05,1.10578,10000,1,32,500
0.175338,3.8258e-05,1.0987,10000,2,32,500
0.176239,3.7488e-05,1.07043,10000,4,32,500
0.176101,4.3847e-05,1.06431,10000,8,32,500
0.176152,3.8132e-05,1.09621,10000,16,32,500
0.176165,3.749e-05,1.06298,10000,32,32,500
0.176058,3.7377e-05,1.04291,10000,1,64,500
0.176749,3.8387e-05,1.03987,10000,2,64,500
0.176043,3.7222e-05,1.03916,10000,4,64,500
0.179085,3.8522e-05,1.03903,10000,8,64,500
0.176411,3.8242e-05,1.03533,10000,16,64,500
0.176217,3.7818e-05,1.02612,10000,1,128,500
0.176123,3.9151e-05,1.02323,10000,2,128,500
0.176037,3.8812e-05,1.02699,10000,4,128,500
0.175978,3.9434e-05,1.0238,10000,8,128,500
0.176414,3.8628e-05,1.08503,10000,1,256,500
0.176066,3.7956e-05,1.01216,10000,2,256,500
0.176489,3.7914e-05,1.05027,10000,4,256,500
0.176269,3.7962e-05,1.00937,10000,1,512,500
0.176417,3.7892e-05,1.01439,10000,2,512,500
0.176505,3.8301e-05,1.03012,10000,1,1024,500
