processors,n,time
2,3000,0.213654
2,1000,0.0163235
2,2000,0.0635734
1,1000,0.0321593
4,2000,0.0372288
1,2000,0.17183
1,3000,0.477066
8,1000,0.00475873
8,2000,0.0202521
32,2000,0.012656
8,3000,0.0631969
4,3000,0.114379
16,3000,0.0289122
56,1000,0.383425
32,3000,0.026699
16,1000,0.00370667
8,2000,0.0205439
4,3000,0.114007
56,2000,0.144944
32,1000,0.00937455
1,1000,0.032484
8,1000,0.00488914
16,2000,0.0122334
4,1000,0.00916538
2,3000,0.213438
16,2000,0.0131445
32,2000,0.0127314
56,3000,0.152789
56,1000,0.385718
1,1000,0.0324083
1,2000,0.172808
16,1000,0.00402467
16,1000,0.00372656
2,1000,0.0164053
1,3000,0.478066
2,2000,0.0660394
2,3000,0.216994
4,2000,0.0381487
4,3000,0.117435
32,2000,0.0121034
2,2000,0.0734184
4,3000,0.114419
8,3000,0.0628607
8,3000,0.0631049
2,3000,0.214002
16,2000,0.0130282
32,1000,0.00921778
32,1000,0.00943974
16,3000,0.0277712
4,1000,0.00918696
8,1000,0.00480424
56,3000,0.146173
2,1000,0.0166306
1,2000,0.172082
16,3000,0.029871
56,2000,0.143391
32,2000,0.0124062
1,1000,0.0320123
8,2000,0.0215435
56,1000,0.376417
16,3000,0.0281726
1,3000,0.482774
4,2000,0.0359616
56,3000,0.151196
4,2000,0.0352421
32,3000,0.0254629
56,1000,0.358313
56,2000,0.144018
16,2000,0.0132833
32,1000,0.00953922
16,1000,0.00390792
4,1000,0.00913804
8,2000,0.0203392
56,2000,0.14583
2,1000,0.0164266
4,1000,0.00937435
1,2000,0.172096
8,3000,0.0653013
2,2000,0.0648357
1,3000,0.476366
32,3000,0.0267499
32,3000,0.0249175
8,1000,0.00461243
2,4000,0.419944
16,4000,0.0611167
8,4000,0.121962
4,4000,0.219613
2,4000,0.41521
1,4000,0.866084
1,4000,0.877014
1,4000,0.879876
32,4000,0.0578514
56,4000,0.161637
8,4000,0.121796
4,4000,0.218157
56,4000,0.163224
32,4000,0.0459535
32,4000,0.0452114
56,4000,0.162592
4,4000,0.22164
2,4000,0.418855
16,4000,0.0622126
16,4000,0.0598619
32,4000,0.0446932
2,4000,0.421401
1,4000,0.879918
8,4000,0.121372
4,4000,0.21655
16,4000,0.0606558
8,4000,0.121485
56,4000,0.166057
16,6000,0.180677
32,6000,0.110938
32,6000,0.111893
32,8000,0.176128
8,6000,0.305247
16,6000,0.179498
16,8000,0.318339
16,8000,0.317876
8,8000,0.497568
4,6000,0.524718
4,6000,0.538399
56,8000,0.284132
2,6000,1.02479
2,6000,1.024
2,6000,1.02999
56,8000,0.28833
2,8000,1.73429
1,6000,2.06757
56,6000,0.213787
1,8000,3.5674
8,6000,0.287799
8,6000,0.292507
8,6000,0.286064
32,8000,0.171096
32,8000,0.178057
16,8000,0.318408
16,8000,0.320812
8,8000,0.494547
4,6000,0.524703
4,8000,0.91146
56,6000,0.216612
56,6000,0.216204
4,8000,0.918422
4,8000,0.933691
2,6000,1.00187
2,8000,1.77535
1,6000,2.03436
1,6000,2.05971
1,8000,3.54123
1,8000,3.55126
16,6000,0.178223
32,6000,0.102561
16,6000,0.179879
4,6000,0.53059
32,6000,0.101486
8,8000,0.501982
8,8000,0.504261
32,8000,0.178764
4,8000,0.934705
56,6000,0.218254
56,8000,0.28994
56,8000,0.275489
2,8000,1.76589
2,8000,1.81334
1,6000,2.04456
1,8000,3.5229
