processors,n,time
2,2000,0.0616367
1,1000,0.0282008
2,1000,0.0154342
4,1000,0.00879307
1,1000,0.0280799
8,3000,0.0527573
4,1000,0.00869647
2,1000,0.0154574
1,2000,0.207931
4,2000,0.0292932
8,2000,0.0182105
8,2000,0.017299
8,1000,0.00731283
4,3000,0.148482
4,3000,0.158544
2,3000,0.232578
2,3000,0.279295
1,3000,0.647769
1,3000,0.622763
8,1000,0.00756035
4,2000,0.103669
8,3000,0.115956
2,2000,0.136848
1,2000,0.223452
16,3000,0.131946
16,2000,0.110944
56,1000,0.470124
56,3000,0.168277
32,1000,0.00830613
56,2000,0.142479
16,3000,0.132848
16,1000,0.00555526
16,1000,0.00555623
56,1000,0.528435
16,2000,0.111677
56,3000,0.168676
32,3000,0.118658
56,2000,0.159018
32,2000,0.0123324
32,2000,0.0121148
32,1000,0.0078959
32,3000,0.120232
2,1000,0.0151651
4,1000,0.00870835
1,2000,0.235406
1,1000,0.0266664
2,2000,0.051796
4,1000,0.00887264
1,1000,0.0264234
2,1000,0.0154333
4,3000,0.127812
4,2000,0.0849813
8,2000,0.0192045
8,3000,0.102933
8,1000,0.00671842
8,3000,0.0603998
2,2000,0.0948401
8,1000,0.00690689
4,2000,0.0289947
8,2000,0.0172364
4,3000,0.173453
1,2000,0.232487
2,3000,0.282485
2,3000,0.336627
1,3000,0.648567
1,3000,0.655607
32,1000,0.00922317
56,1000,0.510436
56,1000,0.545407
32,2000,0.0122477
32,3000,0.115101
16,3000,0.132163
16,1000,0.00572274
32,1000,0.00784971
32,3000,0.111934
16,2000,0.111237
32,2000,0.0122339
56,2000,0.138493
56,3000,0.168375
16,1000,0.00552112
56,3000,0.167395
56,2000,0.173639
16,3000,0.132316
16,2000,0.108356
