processors,n,time
1,2000,0.171372
2,1414,0.0321584
8,2828,0.0543322
4,2000,0.0341944
1,1000,0.0325787
1,1000,0.0325559
8,5656,0.254305
4,4000,0.212734
16,4000,0.0593487
1,3000,0.473154
2,4242,0.472218
16,8000,0.252135
2,2828,0.181401
4,6000,0.520361
2,5656,0.861394
1,4000,0.866339
16,12000,0.558054
32,5656,0.0918958
8,8485,0.569054
4,8000,0.928178
8,11313,0.993738
32,11313,0.329174
16,16000,0.997338
1,2000,0.172107
32,16970,0.714531
56,22449,1.19695
8,5656,0.251792
32,22627,1.27501
4,4000,0.218232
56,7483,0.27781
4,2000,0.0348909
16,8000,0.252794
4,6000,0.524704
8,8485,0.565611
4,8000,0.928138
1,4000,0.871428
8,2828,0.0559894
8,11313,1.18283
2,4242,0.461161
56,29933,2.01609
32,11313,0.330768
1,4000,0.874376
16,16000,1.17078
2,2828,0.177375
16,4000,0.0603174
1,3000,0.482014
32,16970,0.71462
32,5656,0.0918403
4,6000,0.527478
16,12000,0.562271
32,22627,1.27219
1,2000,0.173883
4,4000,0.2191
2,4242,0.470575
8,8485,0.577583
8,2828,0.0568142
56,22449,1.19804
16,8000,0.25828
4,6000,0.52554
8,5656,0.271954
56,7483,0.264099
4,8000,0.925078
56,14966,0.64204
8,11313,0.970604
4,2000,0.0342098
1,4000,0.88281
56,29933,2.01932
1,3000,0.476519
32,11313,0.327857
2,5656,0.854589
32,16970,0.716809
32,22627,1.26652
4,8000,0.927035
56,22449,1.19767
2,2828,0.177705
16,12000,0.562237
2,1414,0.0329787
16,16000,1.00036
32,11313,0.33009
32,16970,0.716045
16,8000,0.25204
16,4000,0.0588068
2,4242,0.459888
32,22627,1.2702
56,14966,0.629174
16,4000,0.0616046
8,11313,0.990936
32,5656,0.0909483
1,2000,0.173371
1,1000,0.0319744
2,1414,0.0319826
8,5656,0.251574
4,2000,0.0345795
56,22449,1.19876
32,5656,0.0901314
16,12000,0.564352
2,1414,0.0321794
16,16000,0.992331
1,1000,0.0327652
8,8485,0.56636
2,2828,0.183775
4,4000,0.216846
1,3000,0.484108
8,2828,0.0552308
2,5656,0.878766
56,7483,0.269332
56,14966,0.633886
56,7483,0.271059
2,5656,0.87728
56,29933,2.01653
56,29933,2.01428
1,8000,3.57633
4,16000,3.66275
2,11313,3.51025
1,8000,3.58471
2,11313,3.61782
4,16000,3.76004
4,16000,3.77538
8,22627,3.92882
1,8000,3.57738
8,22627,4.0507
8,22627,4.40707
8,22627,4.00276
16,32000,4.8418
16,32000,4.84361
16,32000,4.90675
32,45254,4.92734
32,45254,4.92398
56,59866,7.6
56,59866,7.6073
56,59866,7.61512
1,8000,3.55361
2,11313,3.61857
2,11313,3.62845
4,16000,3.62687
16,32000,4.88159
32,45254,4.9228
32,45254,4.9239
56,59866,7.60428
