processors,n,time
1,1000,0.0134392
2,1414,0.013902
2,1414,0.0139435
4,2000,0.0177176
8,2828,0.0537157
56,7483,0.236922
32,5656,0.192211
32,5656,0.200919
1,1000,0.0134342
1,1000,0.01343
4,2000,0.105434
16,4000,0.168707
8,2828,0.117714
4,2000,0.105537
4,2000,0.114594
16,4000,0.169442
2,1414,0.0139667
1,1000,0.0134046
8,2828,0.117386
56,7483,0.24394
1,1000,0.0134272
8,2828,0.117943
32,5656,0.200834
56,7483,0.245535
8,2828,0.11895
16,4000,0.167666
32,5656,0.202093
2,1414,0.0139533
16,4000,0.171645
56,7483,0.25133
2,1414,0.013954
4,2000,0.115022
16,4000,0.168725
56,7483,0.256949
32,5656,0.201206
8,5792,0.361108
4,4096,0.333207
8,5792,0.350129
4,4096,0.345058
1,2048,0.28584
2,2896,0.238506
1,2048,0.155961
2,2896,0.279338
8,5792,0.375942
16,8192,0.577891
32,11585,0.901584
56,15325,0.957918
32,11585,0.897294
56,15325,0.955137
16,8192,0.589189
1,3000,0.725593
2,4242,0.743558
4,6000,0.681948
4,6000,0.719222
1,3000,0.72413
2,4242,0.724799
8,8485,0.787447
8,8485,0.907127
16,12000,1.10953
16,12000,1.12224
56,22449,1.84345
56,22449,1.84141
32,16970,1.8641
32,16970,1.8536
